3608d62b-35b3-483a-ab14-3c3242b8bbe6;José Victor Vieira;jose@gmail.com;2023-11-14T20:33:24.7930774-03:00;
6a7b9c28-3e4f-4b72-a0a9-2e10a205e7f1;Ana Silva;ana@gmail.com;2023-11-14T21:15:00-03:00;
af8e19b3-76f3-4fe7-bb67-1fba3e20c1c9;Carlos Oliveira;carlos@gmail.com;2023-11-14T21:20:00-03:00;
bd11c1de-9b6c-4a99-b699-02f2170182c6;Mariana Santos;mariana@gmail.com;2023-11-14T21:25:00-03:00;
60c12c92-50c8-4b9b-b2a3-e77a6f51d448;Rafael Lima;rafael@gmail.com;2023-11-14T21:30:00-03:00;
a742c428-e9a3-45ea-898f-63a0e1fcf16d;Juliana Costa;juliana@gmail.com;2023-11-14T21:35:00-03:00;
f160d465-5fe2-4b09-b7dd-107e10c73ed4;Fernando Pereira;fernando@gmail.com;2023-11-14T21:40:00-03:00;
2a2c57a4-59a5-4cbf-9f43-94f38a4f7a0c;Amanda Oliveira;amanda@gmail.com;2023-11-14T21:45:00-03:00;
9055556f-15a9-4d0c-889e-d39a1c674c67;Rodrigo Silva;rodrigo@gmail.com;2023-11-14T21:50:00-03:00;
48717b2c-8e5f-42b1-9251-5f95a7d87d62;Isabela Santos;isabela@gmail.com;2023-11-14T21:55:00-03:00;
c2436c95-3ab6-4cc5-87f4-af8c7b1a431a;Lucas Costa;lucas@gmail.com;2023-11-14T22:00:00-03:00;
ca5b4f8d-9e01-4151-bcd1-e3a967a5e32d;Camila Lima;camila@gmail.com;2023-11-14T22:05:00-03:00;
e8cfa32e-e1f3-4c74-b9e3-2e41b2de1c85;Gabriel Oliveira;gabriel@gmail.com;2023-11-14T22:10:00-03:00;
f48d671e-75b7-4c7e-a44b-cd0b890ea28c;Luana Costa;luana@gmail.com;2023-11-14T22:15:00-03:00;
49ff17e3-7e5a-4d1d-a7c1-6b92d0d9fe4d;Ricardo Pereira;ricardo@gmail.com;2023-11-14T22:20:00-03:00;
64d2e8aa-4f2a-4ba2-856c-6666e7a42f14;Natália Santos;natalia@gmail.com;2023-11-14T22:25:00-03:00;
e9b6735a-cb7d-46a0-a942-4e69f0d4c87d;Felipe Lima;felipe@gmail.com;2023-11-14T22:30:00-03:00;
3fdd3130-4c91-4a98-8cf3-d35c0ff82c3d;Eduarda Oliveira;eduarda@gmail.com;2023-11-14T22:35:00-03:00;
be1a7c92-5c48-4f5f-8b7e-c4d988a64a9d;Henrique Costa;henrique@gmail.com;2023-11-14T22:40:00-03:00;
c5949321-cfce-4df3-bba7-8190d8be2d7d;Larissa Santos;larissa@gmail.com;2023-11-14T22:45:00-03:00;
ce9998de-4d66-4c2e-8b3b-0b4e3f7c581c;Tiago Silva;tiago@gmail.com;2023-11-14T22:50:00-03:00;
c9bdaed8-c202-4d3c-a7ad-2e6019a0c02d;Aline Lima;aline@gmail.com;2023-11-14T22:55:00-03:00;
1ec52d85-2c06-47d8-84c2-4a953ad30a19;Vinícius Oliveira;vinicius@gmail.com;2023-11-14T23:00:00-03:00;
c161d611-ff87-48b3-9204-3e3a63192ee3;Patrícia Costa;patricia@gmail.com;2023-11-14T23:05:00-03:00;
2e4c09d7-07b9-4f8a-aa2a-6827c26f2b47;Daniel Santos;daniel@gmail.com;2023-11-14T23:10:00-03:00;
3d4097c0-ba83-45d7-bd7a-df631da0ad6d;Carolina Lima;carolina@gmail.com;2023-11-14T23:15:00-03:00;
b92d8f1c-1f35-4787-b2b4-cf7e67a05356;Bruno Oliveira;bruno@gmail.com;2023-11-14T23:20:00-03:00;

